B50B55,Title,URL,Social 
FALSE,Your Brain Would Rather Worry Than Wait,https://mrshowell24.substack.com/p/your-brain-would-rather-worry-than,"Why does your brain pick worry over waiting every time? Once I learned this, the spiral stopped: https://mrshowell24.substack.com/p/your-brain-would-rather-worry-than"
FALSE,5 Quick Retrieval Practice Moves You Can Use Tomorrow,https://mrshowell24.substack.com/p/5-quick-retrieval-practice-moves,"5 retrieval practice moves you can use tomorrow. No prep, no extra tools, just better learning: https://mrshowell24.substack.com/p/5-quick-retrieval-practice-moves"
FALSE,Behavior Bingo,https://mrshowell24.substack.com/p/behavior-bingo,Behavior Bingo is a fun way to build class culture and the kids actually love it. Try it this week: https://mrshowell24.substack.com/p/behavior-bingo
FALSE,Your Brain Is Sabotaging Your Growth,https://mrshowell24.substack.com/p/your-brain-is-sabotaging-your-growth,"Your brain is sabotaging your growth, and it's doing it on purpose. Here's how to spot the trap: https://mrshowell24.substack.com/p/your-brain-is-sabotaging-your-growth"
FALSE,Spectrum Thinking,https://mrshowell24.substack.com/p/spectrum-thinking,"Spectrum thinking is the mindset shift every educator needs right now. Quick read, big payoff: https://mrshowell24.substack.com/p/spectrum-thinking"
FALSE,When Your Students Push Your Buttons,https://mrshowell24.substack.com/p/when-your-students-push-your-buttons,"When your students push your buttons, it's actually about you. Here's the shift that helps me reset: https://mrshowell24.substack.com/p/when-your-students-push-your-buttons"
FALSE,3 Checks for Understanding,https://mrshowell24.substack.com/p/3-checks-for-understanding,"Three checks for understanding that actually work in a real classroom. Quick, simple, kid-friendly: https://mrshowell24.substack.com/p/3-checks-for-understanding"
FALSE,You're Already a Learning Designer. Here's How to Own It.,https://mrshowell24.substack.com/p/youre-already-a-learning-designer,ISTE Coaches Standard 4.4 calls you a learning designer. Spoiler: you already are one. Here's how to own it: https://mrshowell24.substack.com/p/youre-already-a-learning-designer
FALSE,Your Triggers Are Trying to Tell You Something,https://mrshowell24.substack.com/p/your-triggers-are-trying-to-tell,Your triggers are not the enemy. They're a message. Here's how I started reading them in real time: https://mrshowell24.substack.com/p/your-triggers-are-trying-to-tell
FALSE,Your Morning Is Programming You,https://mrshowell24.substack.com/p/your-morning-is-programming-you,Your morning is programming you. Here's how to take it back without flipping your whole life: https://mrshowell24.substack.com/p/your-morning-is-programming-you
FALSE,How to Get Teachers to Actually Use AI Tools,https://mrshowell24.substack.com/p/how-to-get-teachers-to-actually-use,"PD nodding is not PD using. Here's how to get teachers to actually use AI tools, not just nod along: https://mrshowell24.substack.com/p/how-to-get-teachers-to-actually-use"
FALSE,Make It Real,https://mrshowell24.substack.com/p/make-it-real,The strategy that gets students actually excited to learn. Make it real and watch them lean in: https://mrshowell24.substack.com/p/make-it-real
FALSE,The Elevator Pitch,https://mrshowell24.substack.com/p/the-elevator-pitch,"The elevator pitch move helps students own their own learning. Quick to set up, big payoff: https://mrshowell24.substack.com/p/the-elevator-pitch"
FALSE,The Snippet,https://mrshowell24.substack.com/p/the-snippet,Hook your students before the lesson starts. The Snippet is my go-to opener and it lands every time: https://mrshowell24.substack.com/p/the-snippet
FALSE,When Teachers Become Data Detectives,https://mrshowell24.substack.com/p/when-teachers-become-data-detectives,ISTE Educator Standard 2.7 calls you an analyst. Translation: data detective. Here's how to start: https://mrshowell24.substack.com/p/when-teachers-become-data-detectives
FALSE,5 Ways to Coach Educators Through Their First AI Win,https://mrshowell24.substack.com/p/5-ways-to-coach-educators-through,You don't need a big plan to help teachers get started with AI. 5 small ways to coach the first win: https://mrshowell24.substack.com/p/5-ways-to-coach-educators-through
FALSE,How to Help Teachers Actually Start Using AI,https://mrshowell24.substack.com/p/how-to-help-teachers-actually-start,Most schools treat AI like a launch. The win is in a slow shift. Here's how to help teachers start: https://mrshowell24.substack.com/p/how-to-help-teachers-actually-start
FALSE,The Awareness Trap That's Wearing You Down,https://mrshowell24.substack.com/p/the-awareness-trap-thats-wearing,"Caring teachers notice everything, and that gift is also where the burnout hides. If your brain feels fried by Tuesday, this one's for you. Read it here: https://mrshowell24.substack.com/p/the-awareness-trap-thats-wearing"
FALSE,The Notice Trap,https://mrshowell24.substack.com/p/the-notice-trap,"Tuned-in teachers see it all, and that's exactly why your brain feels fried by Friday. Here's how to free up some headspace without losing the thing that makes you so good at this. Read it here: https://mrshowell24.substack.com/p/the-notice-trap"
FALSE,"When Teachers Are Spent, Skip the Fix and Try This Instead",https://mrshowell24.substack.com/p/when-teachers-are-spent-skip-the,"When a teacher's totally spent and the fix won't work, there's a better move. New post drops the one I lean on first: https://mrshowell24.substack.com/p/when-teachers-are-spent-skip-the"
FALSE,Anchor Charts,https://mrshowell24.substack.com/p/anchor-charts,Visual learning wins. Anchor charts help your class own their ideas and keep coming back to them all year. This is the move. Read it here: https://mrshowell24.substack.com/p/anchor-charts
FALSE,You Don't Need a New Curriculum.,https://mrshowell24.substack.com/p/you-dont-need-a-new-curriculum,Your best book is already on your shelf. Stop hunting for new stuff. Dig deep into what you have. Your kids will learn more from you really teaching one thing well. Read it here: https://mrshowell24.substack.com/p/you-dont-need-a-new-curriculum
FALSE,Get Students Moving While They Learn,https://mrshowell24.substack.com/p/get-students-moving-while-they-learn,"Students learn better when they move! Podcast Walk and Listen keeps them engaged while walking. Simple strategy, huge impact. https://mrshowell24.substack.com/p/get-students-moving-while-they-learn #EdChat #ActiveLearning"
FALSE,Turn and Talk,https://mrshowell24.substack.com/p/turn-and-talk,Want every voice heard in your class? Turn and Talk works magic Partner chats boost engagement & give shy students space to share. Simple + powerful. https://mrshowell24.substack.com/p/turn-and-talk #TeacherLife
FALSE,Choice Boards,https://mrshowell24.substack.com/p/choice-boards,Give your students choice! Choice Boards let learners pick their path-boosting engagement and meeting every student where they are. https://mrshowell24.substack.com/p/choice-boards #Differentiation
FALSE,Brain Breaks,https://mrshowell24.substack.com/p/brain-breaks,"Your students need brain breaks, and you do too! Quick pauses refocus energy and improve retention. Try 2-min breaks every 20-30 min. https://mrshowell24.substack.com/p/brain-breaks #MentalHealth"
TRUE,Cold Calling,https://mrshowell24.substack.com/p/class-discussions-socratic-seminars,"Build anchor charts WITH students. Blues need connection, Golds neat formats, Greens the why, Oranges interactive engagement. #ClassroomTools https://substack.com/@mrshowell24/p-199983589"
