,Date,Title of Resource,Purpose,Description,URL,Summary,0,Substack,#N/A,Inspired By,Content,Created By
TRUE,5-30-20,Check In Items,SEL,https://www.youtube.com/watch?v=LypnW6bWqBo&t=889s,https://docs.google.com/spreadsheets/d/1754h1kSJ8P-9JOxd5_ofx4sRPv9ozuLgyt4HUS82nkM/edit#gid=1965381188,"A quick Check In can shift a kid's whole day.

Save this set of items for any morning meeting 💛

Watch: https://youtu.be/LypnW6bWqBo

#SEL #TeacherTips #MorningMeeting",,,,,Twitter post,Gold Community 
TRUE,9-6-20,Birthday,SEL,https://www.youtube.com/watch?v=JLU8mU2chVs,https://www.mrshowell24.com/blog/birthdays,"What if Birthday was the one move that shifted your week?

It's quick, it's clear, and it gives kids something to chew on. No big lift. Big payoff!

See how it plays out ✨

https://youtu.be/JLU8mU2chVs",,,,,Check out: Birthday https://youtu.be/JLU8mU2chVs,"@pertuzluisfer
@mrshowell24 "
TRUE,10-4-20,Parent Teacher Conference,Parent ,https://www.youtube.com/watch?v=SruC83cnQXo,https://docs.google.com/document/d/1qc28Sm3grCRab44v3s2luxT1ghPN536smysUWDPQERk/edit?usp=sharing,"Most Parent Teacher Conferences run the same play.

What if you let the kid lead it? Here's the small shift that changes everything 🌱

Watch: https://youtu.be/SruC83cnQXo

#TeacherTips #ParentTeacherConference #StudentVoice",,,,,Check out: Parent Teacher Conference https://youtu.be/SruC83cnQXo,@mrshowell24 
TRUE,10-18-20,Multiple Intelligence,SEL,https://www.youtube.com/watch?v=reqrp1edJ6Q,https://www.mrshowell24.com/blog/multiple-intelligence-survey,"Multiple Intelligence shifts how you plan.

Kids learn best in many ways. Here's how to spot it and use it ⭐

Watch: https://youtu.be/reqrp1edJ6Q

#SEL #TeacherTips #LearningStyles",,,,,Check out: Multiple Intelligence https://youtu.be/reqrp1edJ6Q,"@pertuzluisfer
@mrshowell24 "
TRUE,10-23-20,Parent Teacher Conference,Parent ,https://www.youtube.com/watch?v=YW80QXtHmiw,https://www.mrshowell24.com/blog/parent-teacher-conferences,"Parents come in worried. Kids come in shy.

A solid Parent Teacher Conference plan flips both. Here's how to lead one 🤝

Watch: https://youtu.be/YW80QXtHmiw

#TeacherTips #ParentTeacherConference #FamilyEngagement",,,,,Check out: Parent Teacher Conference https://youtu.be/YW80QXtHmiw,@mrshowell24 
TRUE,10-23-20,Missing Work- Autocrat,Classroom Management,https://www.youtube.com/watch?v=BIl7TXJveag,https://www.mrshowell24.com/blog/missing-work,"Missing Work is the email pile no one wants to write.

Autocrat sends them for you. Save this and your Friday opens up ✉️

Watch: https://youtu.be/BIl7TXJveag

#ClassroomManagement #TeacherTips #TeacherHacks",,,,,Check out: Missing Work- Autocrat https://youtu.be/BIl7TXJveag,@mrshowell24 
TRUE,11-8-20,Growth Mindset,SEL,https://www.youtube.com/watch?v=V9ULuhDOvFs&t=46s,https://drive.google.com/drive/folders/1LbqHNjcRwZfasdTNeo-IxJb49V3MTqrp,"You ever have a kid say 'I can't' before they even try?

That voice in their head is loud. And it sticks.

Growth mindset isn't a poster on the wall. It's the way we coach kids to keep going when the work feels hard.

This quick watch breaks it down in plain words you can use Monday 💛

Try one piece this week!

https://youtu.be/V9ULuhDOvFs",,,,Jen Kirk ,,"@pertuzluisfer
@mrshowell24 "
TRUE,12-17-20,Scavenger Hunt ,Game Based Learning ,https://www.youtube.com/watch?v=W4EKj2uykn0,https://www.mrshowell24.com/blog/scavenger-hunt,"Save this one for your next lesson plan.

Scavenger Hunt is low prep, high pull, and lands fast. Pin it now so you have it when you need it!

See how it plays out 📌

https://youtu.be/W4EKj2uykn0",,,,,,@mrshowell24 
TRUE,12-17-20,Elevator Pitch,Instructional Strategies,https://youtu.be/6wauutSgK9A,https://www.mrshowell24.com/blog/elevator-pitch,"An Elevator Pitch makes kids say a lot in a little.

Tight, clear, and real. Watch how to set it up for any subject 🛗

Watch: https://youtu.be/6wauutSgK9A

#TeacherTips #ELA #SpeakingSkills",,,,@LesleighAltmann,,@mrshowell24 
FALSE,12-27-20,Flipgrid Bingo,Game Based Learning ,https://www.youtube.com/watch?v=tnViLTFq-9g,https://www.mrshowell24.com/blog/bingo,"What if Flipgrid Bingo was the one move that shifted your week?

It's quick, it's clear, and it gives kids something to chew on. No big lift. Big payoff!

See how it plays out ✨

https://youtu.be/tnViLTFq-9g",,,,Flipgrid & Sarah Korte Martin,,@mrshowell24 
FALSE,12-30-20,One Word- Thin Slides,EduProtocols,https://youtu.be/CXnkwtx8bqw,https://docs.google.com/presentation/d/1bRcu8XsPeyTHWblNwZq0WYd2I1Fnc2jq18tnWl_JeYE/edit?usp=sharing,"One Word, Thin Slides is the fix for kids who pack slides with text.

Pick one word. Build the rest from there. Real focus 🎯

Watch: https://youtu.be/CXnkwtx8bqw

#EduProtocols #TeacherTips #PresentationSkills",,,,Eduprotocols ,,@mrshowell24 @meganferne
FALSE,1-3-21,The Great American Race,EduProtocols,https://www.youtube.com/watch?v=r9eCVP7I69Y,https://www.mrshowell24.com/blog/the-great-american-race,"What if your unit ran like a race across the U.S.?

The Great American Race turns content into a real-world chase 🏁

Watch: https://youtu.be/r9eCVP7I69Y

#EduProtocols #SocialStudies #TeacherTips",,,,Eduprotocols ,,@mrshowell24 
FALSE,1-3-21,Student Progress,Classroom Management,https://www.youtube.com/watch?v=OVTbAbQUj48,https://www.mrshowell24.com/blog/student-progress,"Student Progress only sticks when kids see it daily.

This shows how to track it in a way that fuels growth, not stress 📈

Watch: https://youtu.be/OVTbAbQUj48

#TeacherTips #ClassroomManagement #StudentGrowth",,,,,,@mrshowell24 
FALSE,1-14-21,Achievement Magazine ,Instructional Strategies,https://www.youtube.com/watch?v=UTidD_9Rb2s,https://www.mrshowell24.com/blog/achievement-magazine-article,"Save this for end-of-unit work.

An Achievement Magazine lets kids show off what they learned in a real, shareable form 📰

Watch: https://youtu.be/UTidD_9Rb2s

#TeacherTips #ProjectBasedLearning #StudentVoice",,,,Kristin Ramsdale ,,@mrshowell24 
FALSE,1-17-21,Number Mania ,EduProtocols,https://www.youtube.com/watch?v=70B35Kff3xI,https://www.mrshowell24.com/blog/number-mania,"Save this one for your next lesson plan.

Number Mania is low prep, high pull, and lands fast. Pin it now so you have it when you need it!

See how it plays out 📌

https://youtu.be/70B35Kff3xI",,,,Eduprotocols ,,@mrshowell24 
FALSE,1-24-21,Theme GIFs,ELA Instructional Strategies,https://www.youtube.com/watch?v=YoCX3PbbLdI,https://www.mrshowell24.com/blog/theme-gifs,"Most theme lessons fall flat.

Theme GIFs make it click. Kids pick a moving image that shows the theme and explain why 🎞️

Watch: https://youtu.be/YoCX3PbbLdI

#ELA #ReadingStrategies #TeacherTips",,,,Ryan Cole,,@mrshowell24 
FALSE,1-31-21,You Do You,Blended Learning ,https://youtu.be/-SixOzc9K4w,https://docs.google.com/document/d/1PXWyZow1lllIec1P-TWRukbZ4DVRMLzAsGIZ9ajqbRc/edit?tab=t.0,"What if You Do You was the one move that shifted your week?

It's quick, it's clear, and it gives kids something to chew on. No big lift. Big payoff!

See how it plays out ✨

https://youtu.be/-SixOzc9K4w",,,,Erin Klueppel,,@mrshowell24 
FALSE,2-7-21,Speed Dating,Instructional Strategies,https://www.youtube.com/watch?v=yFfTTToh8Zc,https://www.mrshowell24.com/blog/speed-dating,"Speed Dating, but for ideas.

Kids rotate, share a quick take, and rotate again. Fast talk, sharper thinking ⏱️

Watch: https://youtu.be/yFfTTToh8Zc

#TeacherTips #DiscussionStrategies #StudentVoice",,,,,,@mrshowell24 
FALSE,2-28-21,Attendance Streak,Classroom Management,https://youtu.be/GtoLNXeDwW8,https://docs.google.com/spreadsheets/d/1N6wnE_TylXJpQ30c5QwYzzcoQ-raWCLdtYphupxB8S8/edit#gid=0,"What if attendance felt like a game?

Attendance Streak tracks how long a class shows up strong. Real buy-in, fast 📅

Watch: https://youtu.be/GtoLNXeDwW8

#ClassroomManagement #TeacherTips #StudentEngagement",,,,Snap Chat & Megan Ferne,,@mrshowell24 
FALSE,3-11-21,Stop Motion,Instructional Strategies,https://youtu.be/62zpIIGAN84,https://docs.google.com/presentation/d/1iwZrTftI6evdTObrJXq2M3GPiUVJC2kXTlsrYfCC5vs/edit?usp=sharing,"Save this Stop Motion guide for any subject.

Kids snap, edit, and tell a story that shows what they learned 🎥

Watch: https://youtu.be/62zpIIGAN84

#TeacherTips #EdTech #ProjectBasedLearning",,,,@nadinegilkison,,@mrshowell24 
FALSE,3-28-21,3 Ways to Process,Blended Learning ,https://youtu.be/JYsiaNK707Y,https://docs.google.com/presentation/d/1-cabTqsgKJ2X5WKwas5sbPeda5YD3kx3S0vwXCd6r4c/edit?slide=id.gaacf059a75_4_0#slide=id.ga0865c17e9_1_0,"Breakout rooms for different learning styles! 🚀 Room 1: Independent work (no mic/cam needed). Room 2: Partner up! Room 3: Q&A with the instructor. #edtech #breakoutrooms #studentchoice #learning https://www.youtube.com/watch?v=OH2VP7iycJg 


Breakout rooms for different learning styles! 🚀 Room 1: Independent work (no mic/cam needed). Room 2: Partner up! Room 3: Q&A with the instructor. #edtech #breakoutrooms #studentchoice #learning https://www.youtube.com/watch?v=OH2VP7iycJg 

",,,,@drarimichele,,@mrshowell24 
FALSE,3/31/21,Sound On/ Sound Off,Instructional Strategies,https://www.youtube.com/watch?v=j19jQWENVns&list=UUR8czsYxtggC3bhtzhVZ4qA&index=734,https://docs.google.com/presentation/d/1BbgJviRhd1qFZpiEZqc1AuW3nWALnW_1qt5xZ1Jk8l8/edit,"Ever heard of ""Sound Off and Sound On""? 🤔 It's an engaging technique that can revolutionize your teaching. Discover the @kamiapp resource: https://kami.app/RNj-A5e-7Eb-crx #edtech #ditchbook #tlap #ETCoaches #hacklearning #GSuiteEdu #GoogleEDU #celebratED #cuechat #k12artchat",,,https://kami.app/bLi-2cS-scX-km8,Ellevation,,@mrshowell24 
FALSE,4/1/21,5 & 2,Instructional Strategies,https://www.youtube.com/watch?v=1c5v0BHOFkI&list=UUR8czsYxtggC3bhtzhVZ4qA&index=732,https://docs.google.com/presentation/d/1mG8qcRXFXxhu4Ouibbk7b8FsjVMyt869j0zqItN8wRQ/edit,"➡️ 5 min listen/note-take
➡️ 2 min peer discussion (what they learned, questions, etc.)
➡️ Repeat!

Super easy to break up mini-lessons & boost engagement. 
https://www.youtube.com/watch?v=1c5v0BHOFkI&list=UUR8czsYxtggC3bhtzhVZ4qA&index=733",,,,Ellevation,,@mrshowell24 
FALSE,4/2/21,Hanging Hashtags ,Instructional Strategies,https://www.youtube.com/watch?v=99JuIOFkt0w&list=UUR8czsYxtggC3bhtzhVZ4qA&index=729,https://docs.google.com/presentation/d/1rMwf8QVzu7NYxdqi-YYnf5SD7d0w3UGDGagFsqL_e6g/edit#slide=id.p,"🌟 Dive into the world of hanging hashtags with this engaging activity! Spark student creativity, tap into prior knowledge, and foster collaboration. Quick, easy, and versatile - perfect for any subject!  📚✨


https://buff.ly/3KbDMYu ",,,"
",Ellevation,,@mrshowell24 
FALSE,4/3/21,Snippet,Instructional Strategies,https://www.youtube.com/watch?v=VL-XlVGRlu4&list=UUR8czsYxtggC3bhtzhVZ4qA&index=721,https://docs.google.com/presentation/d/1beHFkh-lHm7YK0T1e39GkIpo1X4J97YX9O4ynYPvEPg/edit,"Ready to hook your students BEFORE the lesson even starts? 
➡️ Share a short text, video clip, or podcast excerpt.
➡️ Students predict what the lesson will be about & cite evidence.
➡️ Discuss with a partner!

Great way to build curiosity & engagement. 🤔 
 https://www.youtube.com/watch?v=VL-XlVGRlu4&list=UUR8czsYxtggC3bhtzhVZ4qA&index=723 ",,,,Ellevation,,@mrshowell24 
FALSE,4/6/21,Starbucks Grading,Instructional Strategies,https://www.youtube.com/watch?v=ECCk0XcvJ7o&list=UUR8czsYxtggC3bhtzhVZ4qA&index=710,https://docs.google.com/presentation/d/1-LMJFV-cnPcVzQi-Z1RO7JjS7JL9VgnqqRbBcHs8qdo/edit,"What if grading felt more like a coffee run?

Starbucks Grading lets kids pick the size of feedback they want. Quick or strong 🍵

Watch: https://youtu.be/ECCk0XcvJ7o

#TeacherTips #Grading #Feedback",,,,@mrroughton,,@mrshowell24 
FALSE,4/11/21,CER,Instructional Strategies,https://www.youtube.com/watch?v=GkKY8lDnW3M&list=UUR8czsYxtggC3bhtzhVZ4qA&index=706,https://www.mrshowell24.com/blog/cer,"Save this one for your next lesson plan.

CER is low prep, high pull, and lands fast. Pin it now so you have it when you need it!

See how it plays out 📌

https://youtu.be/GkKY8lDnW3M",,,,,,@mrshowell24 
FALSE,4/18/21,Station Rotation,Blended Learning ,https://www.youtube.com/watch?v=QKc3tOq6JCc&list=UUR8czsYxtggC3bhtzhVZ4qA&index=698,https://docs.google.com/presentation/d/1jX9VTUNfw64bVgt2H-To7WuodUeuoLXiUnyXZAdDNSk/edit,"Level up your lessons with Station Rotation! 🔄 This flexible strategy allows for differentiated learning and keeps students engaged. Check out this example where groups rotate through:


➡️ Meet with the Teacher
➡️ Independent Practice
➡️ Collaborative Work (5 C's!)
➡️ Digital Content


What are your favorite stations? 
https://www.youtube.com/watch?v=QKc3tOq6JCc&list=UUR8czsYxtggC3bhtzhVZ4qA&index=698 ",,,,,,@mrshowell24 
FALSE,4-19-21,Stop Think Retell,Retrieval,https://www.youtube.com/watch?v=k6_olOW9TPg,https://www.mrshowell24.com/blog/stop-think-retell,"Stop. Think. Retell.

Three quick beats that lock new ideas in. Use it after any read aloud or video 🧠

Watch: https://youtu.be/k6_olOW9TPg

#Retrieval #TeacherTips #ELA",,,,,,@mrshowell24 
FALSE,4/22/21,Tracking Sheet ,Blended Learning ,https://www.youtube.com/watch?v=AQMU7cuFT3w&list=UUR8czsYxtggC3bhtzhVZ4qA&index=680,https://docs.google.com/spreadsheets/d/19JuyUOlb3Fllc1HGmDMPMbaunvksAKHbh7AQUujeEd8/edit#gid=30838930,"Keeping a close eye on everyone's progress! 👀 Looks like we've got some focused learners in the classroom and a few quick trips to the restroom happening. Great job staying on task, everyone! 👍 #classroommanagement #studentprogress #stayingontrack https://www.youtube.com/watch?v=AQMU7cuFT3w&list=UUR8czsYxtggC3bhtzhVZ4qA&index=680 ",,,,Teach Better Team ,,@mrshowell24 
FALSE,4/22/21,Career Study,SEL,https://www.youtube.com/watch?v=qgaIkBP-iwQ&list=UUR8czsYxtggC3bhtzhVZ4qA&index=676,https://docs.google.com/document/d/1X0pSRqvf2bP1E3bt_KOZ5ssZxRpxA2FugWT1LCwJuS0/edit,"What if Career Study was the one move that shifted your week?

It's quick, it's clear, and it gives kids something to chew on. No big lift. Big payoff!

See how it plays out ✨

https://youtu.be/qgaIkBP-iwQ",,,,,,"@pertuzluisfer
@mrshowell24 
@ashleyhalkum "
FALSE,4-28-21,Internal Conversations ,Instructional Strategies,https://www.youtube.com/watch?v=VEiD4Whh0Zk&list=UUR8czsYxtggC3bhtzhVZ4qA&index=641,https://docs.google.com/presentation/d/1BVqpyxkcFdZuOA_sOGf_4LD1OYu3RiinRVk9DOua-Qo/edit,"Ever wonder what's really going on in someone's head during a conversation? 🤔 This image makes you think about those internal dialogues we all have while interacting. What unspoken thoughts do you think are happening here? 

https://www.youtube.com/watch?v=VEiD4Whh0Zk&list=UUR8czsYxtggC3bhtzhVZ4qA&index=641",,,,Krista Messner ,,@mrshowell24 
FALSE,4-28-21,Pile of Word,Vocabulary,https://www.youtube.com/watch?v=o0ps1KnM1N4&list=UUR8czsYxtggC3bhtzhVZ4qA&index=645,https://docs.google.com/presentation/d/1IFU_n7dI0g_HXJQwacS8C0OLdFb5DGfYgFrVpBl6yAM/edit,"Looking for a fantastic way to engage students with vocabulary and promote active learning. 😃 #Education #ActiveLearning #Vocabulary @kamiapp


https://buff.ly/41gnSDC",,,https://kami.app/wS9-ZL9-ar2-kaT,Catlin Tucker,,@mrshowell24 
FALSE,5-9-21,Leaderboard,Classroom Management,https://www.youtube.com/watch?v=XSa0PgBfrgI,https://www.mrshowell24.com/blog/leaderboard,"Most leaderboards stress out the kid at the bottom.

This one tracks growth, not winning. Real shift, real buy-in 🏅

Watch: https://youtu.be/XSa0PgBfrgI

#ClassroomManagement #TeacherTips #GameBasedLearning",,,,,,"@pertuzluisfer
@mrshowell24 "
FALSE,5-9-21,Vocabulary Choice Board,Vocabulary,https://www.youtube.com/watch?v=osKTvj4OTVE,https://www.mrshowell24.com/blog/vocabulary-choice-board,"Another Vocab Choice Board worth a save.

Tweak the words, keep the moves, and your word study runs all year 📒

Watch: https://youtu.be/osKTvj4OTVE

#Vocabulary #ChoiceBoards #TeacherTips",,,,,,@mrshowell24 
FALSE,5-16-21,They Sent What?,Instructional Strategies,https://www.youtube.com/watch?v=wEVBEwGUd-s&list=UUR8czsYxtggC3bhtzhVZ4qA&index=588,https://docs.google.com/presentation/d/1n5saosJUd0RMFr0dwRy1LvR1hZG9z4By6jqY_LNZFPI/edit,Want to create fake text messages? Check out this step-by-step guide on how to do it like a pro! 🎥https://buff.ly/3HwgzP6 📱 #YouTubeTips #FakeTextMessages #VideoEditingMadeEasy,,,,Mia Young ,,@mrshowell24 
FALSE,5-23-21,Annotating the Text,Instructional Strategies,https://www.youtube.com/watch?v=8uSgcLqQZyk,https://www.mrshowell24.com/blog/annotation,"Most kids mark up text once, then stop.

This walks through how to keep them at it so the reading really sticks 📝

Watch: https://youtu.be/8uSgcLqQZyk

#TeacherTips #ELA #ReadingStrategies",,,,,,@mrshowell24 
FALSE,5-28-21,Vindictive,Game Based Learning ,https://www.youtube.com/watch?v=JdiM7tLVzro&list=UUR8czsYxtggC3bhtzhVZ4qA&index=562,https://docs.google.com/presentation/d/1yxSgziBiw7A6UD7iR7gG56AELNN3QGg9FtCOVyUC3Us/edit#slide=id.p,"Vindictive turns review into a sneaky team game.

Win points, lose points, swap with rivals. Kids will not let it end 🃏

Watch: https://youtu.be/JdiM7tLVzro

#GameBasedLearning #TeacherTips #ReviewGames",,,,,,@mrshowell24 
FALSE,5-30-21,Teaching Inferences with Selfies,ELA Instructional Strategies,https://youtu.be/Mu7Uey-jSBE,https://docs.google.com/presentation/d/149rORmGWiSsvmktjhWNB_Zk10aIdFHYCDlX6xYqT5hc/edit?usp=sharing,"Looking for a fun, engaging way to build inference skills? Try using selfies! Students observe real-life photos and answer:
🔍 What do you see?
💡 What can you infer & why?
This strategy turns everyday images into powerful thinking prompts—and students love it! https://www.youtube.com/watch?v=Mu7Uey-jSBE&feature=youtu.be",,,,Toni Rose Deanon,,@mrshowell24 
FALSE,5-30-21,Water Cycle Playlist ,Blended Learning ,https://www.youtube.com/watch?v=wYja1dDR66U,https://docs.google.com/presentation/d/1ALWWzZzcguB3nbgWfgb4reVG_sJsXV3xUekBEbvaYGQ/edit?usp=sharing,"Save this one for your next lesson plan.

Water Cycle Playlist is low prep, high pull, and lands fast. Pin it now so you have it when you need it!

See how it plays out 📌

https://youtu.be/wYja1dDR66U",,,,,,@mrshowell24 
FALSE,5-30-21,Eduprotocols ,EduProtocols,https://www.youtube.com/watch?v=UQrz2Wi9ICM&list=PL1A49osvVuNxy_Xl3JBzV1bUKMOpQ0-Dv,https://wakelet.com/@EduProtocols_Are_as_Good_as_GOLD577,"What if Eduprotocols was the one move that shifted your week?

It's quick, it's clear, and it gives kids something to chew on. No big lift. Big payoff!

See how it plays out ✨

https://youtu.be/UQrz2Wi9ICM",,,,Eduprotocols ,,@mrshowell24 
FALSE,5-30-21,Bookmarks,ELA Instructional Strategies,https://youtu.be/bH-BFP5sUX4,https://docs.google.com/presentation/d/1wMSbaV65HJH6Pq8y0IYH2U-DDK8VlBhKx6nFFUpnNeg/edit?usp=sharing,"A simple Bookmark is the small tool that helps kids slow down and think while they read.

Save this and use it tomorrow 🔖

Watch: https://youtu.be/bH-BFP5sUX4

#ELA #ReadingStrategies #TeacherTips",,,,Canva ,,@mrshowell24 
FALSE,5-30-21,PechaKucha,EduProtocols,https://www.youtube.com/watch?v=1VHaZEDM10k,https://www.mrshowell24.com/blog/pechakucha,"Most slide decks drag.

PechaKucha forces 20 slides, 20 seconds each. Fast, tight, and the prep makes kids think 🎤

Watch: https://youtu.be/1VHaZEDM10k

#EduProtocols #TeacherTips #PresentationSkills",,,,Eduprotocols ,,@mrshowell24 
FALSE,6-13-21,Research on the Run,Game Based Learning ,https://www.youtube.com/watch?v=i8rZnUMC8BY,,"Our students are learning all about sea turtles—but with a twist! 🏃‍♂️📚
Teams of 3 take on roles (runner, researcher, scribe) and race to find the most accurate sea turtle facts using credible sources.
Collaboration ✅
Critical thinking ✅
Research skills ✅

https://www.youtube.com/watch?v=i8rZnUMC8BY ",,,,@missulbrich,,@mrshowell24 
FALSE,6/25/21,Classroom Headers Make & Take,Make and Take ,https://www.youtube.com/watch?v=axYqqe-cySQ&list=UUR8czsYxtggC3bhtzhVZ4qA&index=545,,"Classroom Headers set the look of your space.

Save these picks and your slides, board, and walls match in minutes 🎨

Watch: https://youtu.be/axYqqe-cySQ

#MakeAndTake #ClassroomDesign #TeacherTips",,,,,,Gold Community 
FALSE,7-7-21,EDuReps Make & Take,EduProtocols,https://www.youtube.com/watch?v=LfSlt90qVDw&list=UUR8czsYxtggC3bhtzhVZ4qA&index=583,,"EduReps are the small move that builds big habits.

Repeat the same easy step till kids own it. Here's how to make and use them 🔁

Watch: https://youtu.be/LfSlt90qVDw

#EduProtocols #MakeAndTake #TeacherTips",,,,Eduprotocols ,,Gold Community 
FALSE,7-12-21,Class Sites Make & Take ,Make and Take ,https://www.youtube.com/watch?v=UvAFvn68U1s&list=UUR8czsYxtggC3bhtzhVZ4qA&index=594,,"Save this if your class site feels stuck.

This Make & Take walks through a clean setup parents and kids can find anything in 🌐

Watch: https://youtu.be/UvAFvn68U1s

#MakeAndTake #ClassroomManagement #TeacherTips",,,,,,Gold Community 
